,0,1,2,3,4,5,6,7,8,9,10,11
assignment3/data/midi/bach/invent/invent13.mid,0.153,0.007,0.109,0.02,0.173,0.054,0.044,0.09,0.055,0.166,0.007,0.123
assignment3/data/midi/bach/invent/invent14.mid,0.141,0.0,0.122,0.129,0.015,0.166,0.009,0.107,0.029,0.086,0.186,0.009
assignment3/data/midi/bach/invent/invent15.mid,0.001,0.115,0.126,0.007,0.129,0.016,0.17,0.079,0.042,0.113,0.023,0.18
assignment3/data/midi/bach/invent/invent2.mid,0.171,0.0,0.156,0.138,0.002,0.123,0.014,0.142,0.063,0.066,0.107,0.017
assignment3/data/midi/bach/invent/invent3.mid,0.001,0.108,0.2,0.003,0.136,0.0,0.138,0.079,0.028,0.166,0.013,0.128
assignment3/data/midi/bach/invent/invent4.mid,0.114,0.026,0.173,0.003,0.153,0.146,0.018,0.105,0.017,0.137,0.078,0.03
assignment3/data/midi/bach/invent/invent5.mid,0.132,0.051,0.077,0.173,0.019,0.135,0.0,0.126,0.125,0.026,0.133,0.004
assignment3/data/midi/bach/invent/invent6.mid,0.004,0.122,0.015,0.14,0.151,0.003,0.11,0.018,0.143,0.077,0.058,0.161
assignment3/data/midi/bach/invent/invent7.mid,0.115,0.032,0.116,0.035,0.173,0.0,0.12,0.126,0.003,0.09,0.01,0.179
assignment3/data/midi/bach/invent/invent8.mid,0.168,0.015,0.124,0.027,0.091,0.176,0.008,0.129,0.0,0.13,0.106,0.028
assignment3/data/midi/bach/invent/invent9.mid,0.137,0.07,0.063,0.083,0.053,0.164,0.018,0.129,0.114,0.028,0.099,0.041
assignment3/data/midi/bach/organ/catech1.mid,0.162,0.001,0.184,0.108,0.006,0.088,0.038,0.157,0.011,0.098,0.14,0.008
assignment3/data/midi/bach/organ/catech10.mid,0.165,0.002,0.184,0.091,0.016,0.091,0.019,0.154,0.014,0.099,0.148,0.018
assignment3/data/midi/bach/organ/catech11.mid,0.135,0.001,0.168,0.06,0.017,0.106,0.033,0.205,0.017,0.093,0.144,0.023
assignment3/data/midi/bach/organ/catech2.mid,0.153,0.004,0.16,0.072,0.022,0.081,0.043,0.181,0.024,0.104,0.113,0.044
